Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
2;20;=AVERAGE($B$380:$B$381);4.000;Awful;NoScaling
3;0;=AVERAGE($B$381:$B$382);4.000;Awful;NoScaling
4;20;=AVERAGE($B$382:$B$383);4.000;Awful;NoScaling
5;20;=AVERAGE($B$383:$B$384);4.000;Awful;NoScaling
6;20;=AVERAGE($B$384:$B$385);4.000;Awful;NoScaling
7;10;=AVERAGE($B$385:$B$386);4.000;Awful;NoScaling
8;40;=AVERAGE($B$386:$B$387);4.000;Awful;NoScaling
9;20;=AVERAGE($B$387:$B$388);4.000;Awful;NoScaling
10;30;=AVERAGE($B$388:$B$389);4.000;Awful;NoScaling
11;20;=AVERAGE($B$389:$B$390);4.000;Awful;NoScaling
12;20;=AVERAGE($B$390:$B$391);4.000;Awful;NoScaling
13;20;=AVERAGE($B$391:$B$392);4.000;Awful;NoScaling
14;30;=AVERAGE($B$392:$B$393);4.000;Awful;NoScaling
15;40;=AVERAGE($B$393:$B$394);4.000;Awful;NoScaling
16;20;=AVERAGE($B$394:$B$395);4.000;Awful;NoScaling
17;40;=AVERAGE($B$395:$B$396);4.000;Awful;NoScaling
18;20;=AVERAGE($B$396:$B$397);4.000;Awful;NoScaling
19;50;=AVERAGE($B$397:$B$398);4.000;Awful;NoScaling
20;10;=AVERAGE($B$398:$B$399);4.000;Awful;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;20;20;4.000;Awful;NoScaling
2;20;=AVERAGE($B$401:$B$402);4.000;Awful;NoScaling
3;30;=AVERAGE($B$402:$B$403);4.000;Awful;NoScaling
4;20;=AVERAGE($B$403:$B$404);4.000;Awful;NoScaling
5;10;=AVERAGE($B$404:$B$405);4.000;Awful;NoScaling
